"arc_length","solute_mu","solute_c"
0.0006,7.87474e+19,7.12666e+19
0.000604,7.86057e+19,7.10751e+19
0.000608,7.8464e+19,7.08835e+19
0.000612,7.83223e+19,7.0692e+19
0.000616,7.81807e+19,7.05004e+19
0.00062,7.8039e+19,7.03089e+19
0.000624,7.78973e+19,7.01173e+19
0.000628,7.77556e+19,6.99257e+19
0.000632,7.76139e+19,6.97342e+19
0.000636,7.74722e+19,6.95426e+19
0.00064,7.73306e+19,6.93511e+19
0.000644,7.71889e+19,6.91595e+19
0.000648,7.70472e+19,6.8968e+19
0.000652,7.69055e+19,6.87764e+19
0.000656,7.67638e+19,6.85848e+19
0.00066,7.66221e+19,6.83933e+19
0.000664,7.64805e+19,6.82017e+19
0.000668,7.63388e+19,6.80102e+19
0.000672,7.61971e+19,6.78186e+19
0.000676,7.60554e+19,6.76271e+19
0.00068,7.59137e+19,6.74355e+19
0.000684,7.5772e+19,6.7244e+19
0.000688,7.56303e+19,6.70524e+19
0.000692,7.54887e+19,6.68608e+19
0.000696,7.5347e+19,6.66693e+19
0.0007,7.52053e+19,6.64777e+19
0.000704,7.50636e+19,6.62862e+19
0.000708,7.49219e+19,6.60946e+19
0.000712,7.47802e+19,6.59031e+19
0.000716,7.46386e+19,6.57115e+19
0.00072,7.44969e+19,6.552e+19
0.000724,7.43552e+19,6.53284e+19
0.000728,7.42135e+19,6.51368e+19
0.000732,7.40718e+19,6.49453e+19
0.000736,7.39301e+19,6.47537e+19
0.00074,7.37885e+19,6.45622e+19
0.000744,7.36468e+19,6.43706e+19
0.000748,7.35051e+19,6.41791e+19
0.000752,7.33634e+19,6.39875e+19
0.000756,7.32217e+19,6.37959e+19
0.00076,7.308e+19,6.36044e+19
0.000764,7.29384e+19,6.34128e+19
0.000768,7.27967e+19,6.32213e+19
0.000772,7.2655e+19,6.30297e+19
0.000776,7.25133e+19,6.28382e+19
0.00078,7.23716e+19,6.26466e+19
0.000784,7.22299e+19,6.24551e+19
0.000788,7.20882e+19,6.22635e+19
0.000792,7.19466e+19,6.20719e+19
0.000796,7.18049e+19,6.18804e+19
0.0008,7.16632e+19,6.16888e+19
0.000804,7.15215e+19,6.14973e+19
0.000808,7.13798e+19,6.13057e+19
0.000812,7.12381e+19,6.11142e+19
0.000816,7.10965e+19,6.09226e+19
0.00082,7.09548e+19,6.07311e+19
0.000824,7.08131e+19,6.05395e+19
0.000828,7.06714e+19,6.03479e+19
0.000832,7.05297e+19,6.01564e+19
0.000836,7.0388e+19,5.99648e+19
0.00084,7.02464e+19,5.97733e+19
0.000844,7.01047e+19,5.95817e+19
0.000848,6.9963e+19,5.93902e+19
0.000852,6.98213e+19,5.91986e+19
0.000856,6.96796e+19,5.90071e+19
0.00086,6.95379e+19,5.88155e+19
0.000864,6.93962e+19,5.86239e+19
0.000868,6.92546e+19,5.84324e+19
0.000872,6.91129e+19,5.82408e+19
0.000876,6.89712e+19,5.80493e+19
0.00088,6.88295e+19,5.78577e+19
0.000884,6.86878e+19,5.76662e+19
0.000888,6.85461e+19,5.74746e+19
0.000892,6.84045e+19,5.72831e+19
0.000896,6.82628e+19,5.70915e+19
0.0009,6.81211e+19,5.68999e+19
0.000904,6.79794e+19,5.67084e+19
0.000908,6.78377e+19,5.65168e+19
0.000912,6.7696e+19,5.63253e+19
0.000916,6.75544e+19,5.61337e+19
0.00092,6.74127e+19,5.59422e+19
0.000924,6.7271e+19,5.57506e+19
0.000928,6.71293e+19,5.55591e+19
0.000932,6.69876e+19,5.53675e+19
0.000936,6.68459e+19,5.51759e+19
0.00094,6.67043e+19,5.49844e+19
0.000944,6.65626e+19,5.47928e+19
0.000948,6.64209e+19,5.46013e+19
0.000952,6.62792e+19,5.44097e+19
0.000956,6.61375e+19,5.42182e+19
0.00096,6.59958e+19,5.40266e+19
0.000964,6.58541e+19,5.3835e+19
0.000968,6.57125e+19,5.36435e+19
0.000972,6.55708e+19,5.34519e+19
0.000976,6.54291e+19,5.32604e+19
0.00098,6.52874e+19,5.30688e+19
0.000984,6.51457e+19,5.28773e+19
0.000988,6.5004e+19,5.26857e+19
0.000992,6.48624e+19,5.24942e+19
0.000996,6.47207e+19,5.23026e+19
0.001,6.4579e+19,5.21111e+19
0.001004,6.44373e+19,5.19195e+19
0.001008,6.42956e+19,5.17279e+19
0.001012,6.41539e+19,5.15364e+19
0.001016,6.40123e+19,5.13448e+19
0.00102,6.38706e+19,5.11533e+19
0.001024,6.37289e+19,5.09617e+19
0.001028,6.35872e+19,5.07702e+19
0.001032,6.34455e+19,5.05786e+19
0.001036,6.33038e+19,5.0387e+19
0.00104,6.31622e+19,5.01955e+19
0.001044,6.30205e+19,5.00039e+19
0.001048,6.28788e+19,4.98124e+19
0.001052,6.27371e+19,4.96208e+19
0.001056,6.25954e+19,4.94293e+19
0.00106,6.24537e+19,4.92377e+19
0.001064,6.2312e+19,4.90462e+19
0.001068,6.21704e+19,4.88546e+19
0.001072,6.20287e+19,4.8663e+19
0.001076,6.1887e+19,4.84715e+19
0.00108,6.17453e+19,4.82799e+19
0.001084,6.16036e+19,4.80884e+19
0.001088,6.14619e+19,4.78968e+19
0.001092,6.13203e+19,4.77053e+19
0.001096,6.11786e+19,4.75137e+19
0.0011,6.10369e+19,4.73222e+19
0.001104,6.08952e+19,4.71306e+19
0.001108,6.07535e+19,4.6939e+19
0.001112,6.06118e+19,4.67475e+19
0.001116,6.04702e+19,4.65559e+19
0.00112,6.03285e+19,4.63644e+19
0.001124,6.01868e+19,4.61728e+19
0.001128,6.00451e+19,4.59813e+19
0.001132,5.99034e+19,4.57897e+19
0.001136,5.97617e+19,4.55982e+19
0.00114,5.962e+19,4.54066e+19
0.001144,5.94784e+19,4.5215e+19
0.001148,5.93367e+19,4.50235e+19
0.001152,5.9195e+19,4.48319e+19
0.001156,5.90533e+19,4.46404e+19
0.00116,5.89116e+19,4.44488e+19
0.001164,5.87699e+19,4.42573e+19
0.001168,5.86283e+19,4.40657e+19
0.001172,5.84866e+19,4.38741e+19
0.001176,5.83449e+19,4.36826e+19
0.00118,5.82032e+19,4.3491e+19
0.001184,5.80615e+19,4.32995e+19
0.001188,5.79198e+19,4.31079e+19
0.001192,5.77782e+19,4.29164e+19
0.001196,5.76365e+19,4.27248e+19
0.0012,5.74948e+19,4.25333e+19
0.001204,5.73531e+19,4.23417e+19
0.001208,5.72114e+19,4.21501e+19
0.001212,5.70697e+19,4.19586e+19
0.001216,5.69281e+19,4.1767e+19
0.00122,5.67864e+19,4.15755e+19
0.001224,5.66447e+19,4.13839e+19
0.001228,5.6503e+19,4.11924e+19
0.001232,5.63613e+19,4.10008e+19
0.001236,5.62196e+19,4.08093e+19
0.00124,5.6078e+19,4.06177e+19
0.001244,5.59363e+19,4.04261e+19
0.001248,5.57946e+19,4.02346e+19
0.001252,5.56529e+19,4.0043e+19
0.001256,5.55112e+19,3.98515e+19
0.00126,5.53695e+19,3.96599e+19
0.001264,5.52278e+19,3.94684e+19
0.001268,5.50862e+19,3.92768e+19
0.001272,5.49445e+19,3.90853e+19
0.001276,5.48028e+19,3.88937e+19
0.00128,5.46611e+19,3.87021e+19
0.001284,5.45194e+19,3.85106e+19
0.001288,5.43777e+19,3.8319e+19
0.001292,5.42361e+19,3.81275e+19
0.001296,5.40944e+19,3.79359e+19
0.0013,5.39527e+19,3.77444e+19
0.001304,5.3811e+19,3.75528e+19
0.001308,5.36693e+19,3.73613e+19
0.001312,5.35276e+19,3.71697e+19
0.001316,5.3386e+19,3.69781e+19
0.00132,5.32443e+19,3.67866e+19
0.001324,5.31026e+19,3.6595e+19
0.001328,5.29609e+19,3.64035e+19
0.001332,5.28192e+19,3.62119e+19
0.001336,5.26775e+19,3.60204e+19
0.00134,5.25358e+19,3.58288e+19
0.001344,5.23942e+19,3.56372e+19
0.001348,5.22525e+19,3.54457e+19
0.001352,5.21108e+19,3.52541e+19
0.001356,5.19691e+19,3.50626e+19
0.00136,5.18274e+19,3.4871e+19
0.001364,5.16857e+19,3.46795e+19
0.001368,5.15441e+19,3.44879e+19
0.001372,5.14024e+19,3.42964e+19
0.001376,5.12607e+19,3.41048e+19
0.00138,5.1119e+19,3.39132e+19
0.001384,5.09773e+19,3.37217e+19
0.001388,5.08356e+19,3.35301e+19
0.001392,5.0694e+19,3.33386e+19
0.001396,5.05523e+19,3.3147e+19
0.0014,5.04106e+19,3.29555e+19
0.001404,5.02689e+19,3.27639e+19
0.001408,5.01272e+19,3.25724e+19
0.001412,4.99855e+19,3.23808e+19
0.001416,4.98438e+19,3.21892e+19
0.00142,4.97022e+19,3.19977e+19
0.001424,4.95605e+19,3.18061e+19
0.001428,4.94188e+19,3.16146e+19
0.001432,4.92771e+19,3.1423e+19
0.001436,4.91354e+19,3.12315e+19
0.00144,4.89937e+19,3.10399e+19
0.001444,4.88521e+19,3.08484e+19
0.001448,4.87104e+19,3.06568e+19
0.001452,4.85687e+19,3.04652e+19
0.001456,4.8427e+19,3.02737e+19
