"arc_length","retention_mu","retention_c"
0,3.14797e+24,3.14797e+24
8.5e-06,1.66131e+23,1.66131e+23
1.7e-05,1.66443e+23,1.66443e+23
2.55e-05,1.66758e+23,1.66758e+23
3.4e-05,1.67075e+23,1.67075e+23
4.25e-05,1.67396e+23,1.67396e+23
5.1e-05,1.67719e+23,1.67719e+23
5.95e-05,1.68046e+23,1.68046e+23
6.8e-05,1.68376e+23,1.68376e+23
7.65e-05,1.68709e+23,1.68709e+23
8.5e-05,1.69045e+23,1.69045e+23
9.35e-05,1.69384e+23,1.69384e+23
0.000102,1.69726e+23,1.69726e+23
0.0001105,1.70072e+23,1.70072e+23
0.000119,1.7042e+23,1.7042e+23
0.0001275,1.70773e+23,1.70773e+23
0.000136,1.71128e+23,1.71128e+23
0.0001445,1.71487e+23,1.71487e+23
0.000153,1.71849e+23,1.71849e+23
0.0001615,1.72215e+23,1.72215e+23
0.00017,1.72584e+23,1.72584e+23
0.0001785,1.72957e+23,1.72957e+23
0.000187,1.73333e+23,1.73333e+23
0.0001955,1.73713e+23,1.73713e+23
0.000204,1.74097e+23,1.74097e+23
0.0002125,1.74484e+23,1.74484e+23
0.000221,1.74875e+23,1.74875e+23
0.0002295,1.75269e+23,1.75269e+23
0.000238,1.75668e+23,1.75668e+23
0.0002465,1.7607e+23,1.7607e+23
0.000255,1.76476e+23,1.76476e+23
0.0002635,1.76887e+23,1.76887e+23
0.000272,1.77301e+23,1.77301e+23
0.0002805,1.77719e+23,1.77719e+23
0.000289,1.78141e+23,1.78141e+23
0.0002975,1.78567e+23,1.78567e+23
0.000306,1.78998e+23,1.78998e+23
0.0003145,1.79433e+23,1.79433e+23
0.000323,1.79872e+23,1.79872e+23
0.0003315,1.80315e+23,1.80315e+23
0.00034,1.80762e+23,1.80762e+23
0.0003485,1.81214e+23,1.81214e+23
0.000357,1.81671e+23,1.81671e+23
0.0003655,1.82132e+23,1.82132e+23
0.000374,1.82597e+23,1.82597e+23
0.0003825,1.83067e+23,1.83067e+23
0.000391,1.83542e+23,1.83542e+23
0.0003995,1.84021e+23,1.84021e+23
0.000408,1.84505e+23,1.84505e+23
0.0004165,1.84994e+23,1.84994e+23
0.000425,1.85488e+23,1.85488e+23
0.0004335,1.85986e+23,1.85986e+23
0.000442,1.8649e+23,1.8649e+23
0.0004505,1.86998e+23,1.86998e+23
0.000459,1.87512e+23,1.87512e+23
0.0004675,1.88031e+23,1.88031e+23
0.000476,1.88555e+23,1.88555e+23
0.0004845,1.89084e+23,1.89084e+23
0.000493,1.89619e+23,1.89619e+23
0.0005015,1.90159e+23,1.90159e+23
0.00051,1.90704e+23,1.90704e+23
0.0005185,1.91255e+23,1.91255e+23
0.000527,1.91811e+23,1.91811e+23
0.0005355,1.92373e+23,1.92373e+23
0.000544,1.92941e+23,1.92941e+23
0.0005525,1.93515e+23,1.93515e+23
0.000561,1.94094e+23,1.94094e+23
0.0005695,1.94679e+23,1.94679e+23
0.000578,1.9527e+23,1.9527e+23
0.0005865,1.95868e+23,1.95868e+23
0.000595,1.96471e+23,1.96471e+23
0.0006035,1.9708e+23,1.9708e+23
0.000612,1.97696e+23,1.97696e+23
0.0006205,1.98318e+23,1.98318e+23
0.000629,1.98946e+23,1.98946e+23
0.0006375,1.99581e+23,1.99581e+23
0.000646,2.00222e+23,2.00222e+23
0.0006545,2.0087e+23,2.0087e+23
0.000663,2.01525e+23,2.01525e+23
0.0006715,2.02186e+23,2.02186e+23
0.00068,2.02854e+23,2.02854e+23
0.0006885,2.0353e+23,2.0353e+23
0.000697,2.04212e+23,2.04212e+23
0.0007055,2.04901e+23,2.04901e+23
0.000714,2.05597e+23,2.05597e+23
0.0007225,2.06301e+23,2.06301e+23
0.000731,2.07012e+23,2.07012e+23
0.0007395,2.0773e+23,2.0773e+23
0.000748,2.08456e+23,2.08456e+23
0.0007565,2.0919e+23,2.0919e+23
0.000765,2.09931e+23,2.09931e+23
0.0007735,2.1068e+23,2.1068e+23
0.000782,2.11437e+23,2.11437e+23
0.0007905,2.12202e+23,2.12202e+23
0.000799,2.12975e+23,2.12975e+23
0.0008075,2.13756e+23,2.13756e+23
0.000816,2.14545e+23,2.14545e+23
0.0008245,2.15343e+23,2.15343e+23
0.000833,2.16149e+23,2.16149e+23
0.0008415,2.16964e+23,2.16964e+23
0.00085,2.17787e+23,2.17787e+23
0.0008585,2.18619e+23,2.18619e+23
0.000867,2.1946e+23,2.1946e+23
0.0008755,2.2031e+23,2.2031e+23
0.000884,2.21169e+23,2.21169e+23
