"arc_length","retention_mu","retention_c"
0.0018955,4.49411e+23,4.56401e+23
0.001904,4.53036e+23,4.60134e+23
0.0019125,4.56709e+23,4.63917e+23
0.001921,4.60429e+23,4.67748e+23
0.0019295,4.64197e+23,4.7163e+23
0.001938,4.68014e+23,4.75563e+23
0.0019465,4.71881e+23,4.79547e+23
0.001955,4.75798e+23,4.83584e+23
0.0019635,4.79766e+23,4.87674e+23
0.001972,4.83786e+23,4.91817e+23
0.0019805,4.87859e+23,4.96016e+23
0.001989,4.91985e+23,5.0027e+23
0.0019975,4.96165e+23,5.0458e+23
0.002006,5.004e+23,5.08948e+23
0.0020145,5.04691e+23,5.13374e+23
0.002023,5.09038e+23,5.17858e+23
0.0020315,5.13443e+23,5.22403e+23
0.00204,5.17906e+23,5.27008e+23
0.0020485,5.22428e+23,5.31674e+23
0.002057,5.2701e+23,5.36403e+23
0.0020655,5.31653e+23,5.41196e+23
0.002074,5.36357e+23,5.46053e+23
0.0020825,5.41125e+23,5.50975e+23
0.002091,5.45955e+23,5.55964e+23
0.0020995,5.50851e+23,5.6102e+23
0.002108,5.55811e+23,5.66144e+23
0.0021165,5.60839e+23,5.71338e+23
0.002125,5.65933e+23,5.76602e+23
0.0021335,5.71096e+23,5.81938e+23
0.002142,5.76329e+23,5.87346e+23
0.0021505,5.81632e+23,5.92828e+23
0.002159,5.87007e+23,5.98384e+23
0.0021675,5.92454e+23,6.04017e+23
0.002176,5.97975e+23,6.09727e+23
0.0021845,6.03571e+23,6.15515e+23
0.002193,6.09243e+23,6.21382e+23
0.0022015,6.14992e+23,6.2733e+23
0.00221,6.20819e+23,6.3336e+23
0.0022185,6.26725e+23,6.39473e+23
0.002227,6.32713e+23,6.4567e+23
0.0022355,6.38782e+23,6.51954e+23
0.002244,6.44934e+23,6.58324e+23
0.0022525,6.5117e+23,6.64782e+23
0.002261,6.57493e+23,6.71331e+23
0.0022695,6.63902e+23,6.7797e+23
0.002278,6.70399e+23,6.84702e+23
0.0022865,6.76986e+23,6.91528e+23
0.002295,6.83664e+23,6.98449e+23
0.0023035,6.90434e+23,7.05467e+23
0.002312,6.97298e+23,7.12583e+23
0.0023205,7.04257e+23,7.19799e+23
0.002329,7.11313e+23,7.27117e+23
0.0023375,7.18467e+23,7.34538e+23
0.002346,7.2572e+23,7.42063e+23
0.0023545,7.33075e+23,7.49695e+23
0.002363,7.40532e+23,7.57434e+23
0.0023715,7.48093e+23,7.65283e+23
0.00238,7.55761e+23,7.73243e+23
0.0023885,7.63535e+23,7.81317e+23
0.002397,7.71419e+23,7.89505e+23
0.0024055,7.79414e+23,7.97809e+23
0.002414,7.87521e+23,8.06232e+23
0.0024225,7.95743e+23,8.14776e+23
0.002431,8.04081e+23,8.23441e+23
0.0024395,8.12536e+23,8.3223e+23
0.002448,8.21111e+23,8.41146e+23
0.0024565,8.29808e+23,8.50189e+23
0.002465,8.38628e+23,8.59363e+23
0.0024735,8.47573e+23,8.68668e+23
0.002482,8.56645e+23,8.78108e+23
0.0024905,8.65847e+23,8.87684e+23
0.002499,8.7518e+23,8.97399e+23
0.0025075,8.84646e+23,9.07254e+23
