node	x (m)    	Temp. (K) 	Mobile (at/m3)	Trap 1 (at/m3)  	Trap 2 (at/m3)  	Trap 3 (at/m3)  	Trap 4 (at/m3)  	Trap 5 (at/m3)  
1	0.000000E+00	1.200000E+03	5.581900E+01	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
2	1.250000E-09	1.200000E+03	1.142900E+23	4.030000E+22	2.762100E+24	0.000000E+00	0.000000E+00	0.000000E+00
3	3.750000E-09	1.200000E+03	1.142900E+23	4.030100E+22	2.762200E+24	0.000000E+00	0.000000E+00	0.000000E+00
4	6.250000E-09	1.200000E+03	1.142900E+23	4.030100E+22	2.762200E+24	0.000000E+00	0.000000E+00	0.000000E+00
5	8.750000E-09	1.200000E+03	1.142900E+23	4.030100E+22	2.762200E+24	0.000000E+00	0.000000E+00	0.000000E+00
6	1.125000E-08	1.200000E+03	1.142900E+23	4.030100E+22	2.762200E+24	0.000000E+00	0.000000E+00	0.000000E+00
7	1.375000E-08	1.200000E+03	1.142900E+23	4.030100E+22	2.762200E+24	0.000000E+00	0.000000E+00	0.000000E+00
8	1.625000E-08	1.200000E+03	1.142900E+23	4.030100E+22	2.762200E+24	0.000000E+00	0.000000E+00	0.000000E+00
9	1.875000E-08	1.200000E+03	1.142900E+23	4.030100E+22	2.762200E+24	0.000000E+00	0.000000E+00	0.000000E+00
10	2.500000E-08	1.200000E+03	1.142900E+23	4.030100E+22	2.762200E+24	0.000000E+00	0.000000E+00	0.000000E+00
11	3.500000E-08	1.200000E+03	1.142900E+23	4.030200E+22	2.762200E+24	0.000000E+00	0.000000E+00	0.000000E+00
12	4.500000E-08	1.200000E+03	1.142900E+23	4.030200E+22	2.762300E+24	0.000000E+00	0.000000E+00	0.000000E+00
13	5.500000E-08	1.200000E+03	1.142900E+23	4.030200E+22	2.762300E+24	0.000000E+00	0.000000E+00	0.000000E+00
14	6.500000E-08	1.200000E+03	1.142900E+23	4.030300E+22	2.762300E+24	0.000000E+00	0.000000E+00	0.000000E+00
15	7.500000E-08	1.200000E+03	1.142900E+23	4.030300E+22	2.762400E+24	0.000000E+00	0.000000E+00	0.000000E+00
16	8.500000E-08	1.200000E+03	1.142900E+23	4.030300E+22	2.762400E+24	0.000000E+00	0.000000E+00	0.000000E+00
17	9.500000E-08	1.200000E+03	1.142900E+23	4.030400E+22	2.762400E+24	0.000000E+00	0.000000E+00	0.000000E+00
18	1.125000E-07	1.200000E+03	1.142900E+23	4.030400E+22	2.762500E+24	0.000000E+00	0.000000E+00	0.000000E+00
19	1.375000E-07	1.200000E+03	1.142900E+23	4.030500E+22	2.762600E+24	0.000000E+00	0.000000E+00	0.000000E+00
20	1.625000E-07	1.200000E+03	1.142900E+23	4.030600E+22	2.762600E+24	0.000000E+00	0.000000E+00	0.000000E+00
21	1.875000E-07	1.200000E+03	1.142900E+23	4.030700E+22	2.762700E+24	0.000000E+00	0.000000E+00	0.000000E+00
22	2.500000E-07	1.200000E+03	1.142900E+23	4.030900E+22	2.762900E+24	0.000000E+00	0.000000E+00	0.000000E+00
23	3.500000E-07	1.200000E+03	1.142900E+23	4.031300E+22	2.763200E+24	0.000000E+00	0.000000E+00	0.000000E+00
24	4.500000E-07	1.199900E+03	1.142900E+23	4.031600E+22	2.763500E+24	0.000000E+00	0.000000E+00	0.000000E+00
25	5.500000E-07	1.199900E+03	1.142900E+23	4.032000E+22	2.763800E+24	0.000000E+00	0.000000E+00	0.000000E+00
26	6.500000E-07	1.199900E+03	1.142900E+23	4.032300E+22	2.764100E+24	0.000000E+00	0.000000E+00	0.000000E+00
27	7.500000E-07	1.199900E+03	1.142900E+23	4.032700E+22	2.764400E+24	0.000000E+00	0.000000E+00	0.000000E+00
28	8.500000E-07	1.199900E+03	1.142900E+23	4.033000E+22	2.764700E+24	0.000000E+00	0.000000E+00	0.000000E+00
29	9.500000E-07	1.199900E+03	1.142900E+23	4.033400E+22	2.765000E+24	0.000000E+00	0.000000E+00	0.000000E+00
30	1.125000E-06	1.199800E+03	1.142900E+23	4.034000E+22	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
31	1.375000E-06	1.199800E+03	1.142900E+23	4.034900E+22	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
32	1.625000E-06	1.199800E+03	1.142800E+23	4.035700E+22	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
33	1.875000E-06	1.199700E+03	1.142800E+23	4.036600E+22	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
34	2.500000E-06	1.199700E+03	1.142800E+23	4.038800E+22	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
35	3.500000E-06	1.199500E+03	1.142800E+23	4.042300E+22	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
36	4.500000E-06	1.199400E+03	1.142800E+23	4.045800E+22	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
37	5.500000E-06	1.199300E+03	1.142800E+23	4.049300E+22	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
38	6.500000E-06	1.199100E+03	1.142800E+23	4.052900E+22	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
39	7.500000E-06	1.199000E+03	1.142800E+23	4.056400E+22	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
40	8.500000E-06	1.198900E+03	1.142800E+23	4.059900E+22	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
41	9.500000E-06	1.198700E+03	1.142700E+23	4.063400E+22	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
42	1.125000E-05	1.198500E+03	1.142700E+23	4.069600E+22	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
43	1.375000E-05	1.198100E+03	1.142700E+23	4.078500E+22	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
44	1.625000E-05	1.197800E+03	1.142600E+23	4.087400E+22	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
45	1.875000E-05	1.197500E+03	1.142600E+23	4.096300E+22	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
46	2.500000E-05	1.196600E+03	1.142500E+23	4.118700E+22	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
