"arc_length","solute_mu","solute_c"
0.000612,6.94001e+19,7.70724e+19
0.000616,6.92001e+19,7.69225e+19
0.00062,6.90001e+19,7.67727e+19
0.000624,6.88001e+19,7.66228e+19
0.000628,6.86001e+19,7.64729e+19
0.000632,6.84001e+19,7.63231e+19
0.000636,6.82001e+19,7.61732e+19
0.00064,6.80001e+19,7.60234e+19
0.000644,6.78001e+19,7.58735e+19
0.000648,6.76001e+19,7.57237e+19
0.000652,6.74001e+19,7.55738e+19
0.000656,6.72001e+19,7.5424e+19
0.00066,6.70001e+19,7.52741e+19
0.000664,6.68001e+19,7.51243e+19
0.000668,6.66001e+19,7.49744e+19
0.000672,6.64001e+19,7.48246e+19
0.000676,6.62001e+19,7.46747e+19
0.00068,6.60001e+19,7.45248e+19
0.000684,6.58001e+19,7.4375e+19
0.000688,6.56001e+19,7.42251e+19
0.000692,6.54001e+19,7.40753e+19
0.000696,6.52001e+19,7.39254e+19
0.0007,6.50001e+19,7.37756e+19
0.000704,6.48001e+19,7.36257e+19
0.000708,6.46001e+19,7.34759e+19
0.000712,6.44001e+19,7.3326e+19
0.000716,6.42001e+19,7.31762e+19
0.00072,6.40001e+19,7.30263e+19
0.000724,6.38001e+19,7.28765e+19
0.000728,6.36001e+19,7.27266e+19
0.000732,6.34001e+19,7.25767e+19
0.000736,6.32001e+19,7.24269e+19
0.00074,6.30001e+19,7.2277e+19
0.000744,6.28001e+19,7.21272e+19
0.000748,6.26001e+19,7.19773e+19
0.000752,6.24001e+19,7.18275e+19
0.000756,6.22001e+19,7.16776e+19
0.00076,6.20001e+19,7.15278e+19
0.000764,6.18001e+19,7.13779e+19
0.000768,6.16001e+19,7.12281e+19
0.000772,6.14001e+19,7.10782e+19
0.000776,6.12001e+19,7.09284e+19
0.00078,6.10001e+19,7.07785e+19
0.000784,6.08001e+19,7.06286e+19
0.000788,6.06001e+19,7.04788e+19
0.000792,6.04001e+19,7.03289e+19
0.000796,6.02001e+19,7.01791e+19
0.0008,6.00001e+19,7.00292e+19
0.000804,5.98002e+19,6.98794e+19
0.000808,5.96001e+19,6.97295e+19
0.000812,5.94002e+19,6.95797e+19
0.000816,5.92002e+19,6.94298e+19
0.00082,5.90002e+19,6.928e+19
0.000824,5.88002e+19,6.91301e+19
0.000828,5.86002e+19,6.89803e+19
0.000832,5.84002e+19,6.88304e+19
0.000836,5.82002e+19,6.86805e+19
0.00084,5.80002e+19,6.85307e+19
0.000844,5.78002e+19,6.83808e+19
0.000848,5.76002e+19,6.8231e+19
0.000852,5.74002e+19,6.80811e+19
0.000856,5.72002e+19,6.79313e+19
0.00086,5.70002e+19,6.77814e+19
0.000864,5.68002e+19,6.76316e+19
0.000868,5.66002e+19,6.74817e+19
0.000872,5.64002e+19,6.73319e+19
0.000876,5.62002e+19,6.7182e+19
0.00088,5.60002e+19,6.70322e+19
0.000884,5.58002e+19,6.68823e+19
0.000888,5.56002e+19,6.67324e+19
0.000892,5.54002e+19,6.65826e+19
0.000896,5.52002e+19,6.64327e+19
0.0009,5.50002e+19,6.62829e+19
0.000904,5.48002e+19,6.6133e+19
0.000908,5.46002e+19,6.59832e+19
0.000912,5.44002e+19,6.58333e+19
0.000916,5.42002e+19,6.56835e+19
0.00092,5.40002e+19,6.55336e+19
0.000924,5.38002e+19,6.53838e+19
0.000928,5.36002e+19,6.52339e+19
0.000932,5.34002e+19,6.50841e+19
0.000936,5.32002e+19,6.49342e+19
0.00094,5.30002e+19,6.47843e+19
0.000944,5.28002e+19,6.46345e+19
0.000948,5.26002e+19,6.44846e+19
0.000952,5.24002e+19,6.43348e+19
0.000956,5.22002e+19,6.41849e+19
0.00096,5.20002e+19,6.40351e+19
0.000964,5.18002e+19,6.38852e+19
0.000968,5.16002e+19,6.37354e+19
0.000972,5.14002e+19,6.35855e+19
0.000976,5.12002e+19,6.34357e+19
0.00098,5.10002e+19,6.32858e+19
0.000984,5.08002e+19,6.3136e+19
0.000988,5.06002e+19,6.29861e+19
0.000992,5.04002e+19,6.28362e+19
0.000996,5.02002e+19,6.26864e+19
0.001,5.00002e+19,6.25365e+19
0.001004,4.98002e+19,6.23867e+19
0.001008,4.96002e+19,6.22368e+19
0.001012,4.94002e+19,6.2087e+19
0.001016,4.92002e+19,6.19371e+19
0.00102,4.90002e+19,6.17873e+19
0.001024,4.88002e+19,6.16374e+19
0.001028,4.86002e+19,6.14876e+19
0.001032,4.84002e+19,6.13377e+19
0.001036,4.82002e+19,6.11879e+19
0.00104,4.80002e+19,6.1038e+19
0.001044,4.78002e+19,6.08881e+19
0.001048,4.76002e+19,6.07383e+19
