x(m),solute(m-3),retention(m-3)
0,1.17427262028544E+023,1.59199680084214E+023
0.0001,1.22400110671646E+023,1.69993355743862E+023
0.0002,1.22318004829138E+023,1.74394767301253E+023
0.0003,1.22232228084581E+023,1.79317446949679E+023
0.0004,1.22142168620966E+023,1.8483114182808E+023
0.0005,1.22047581711489E+023,1.91021506317612E+023
0.0006,1.21947855539144E+023,1.97985207505579E+023
0.0007,1.21842990103929E+023,2.05832372453467E+023
0.0008,1.21732495952238E+023,2.1469515363506E+023
0.0009,1.21615883630464E+023,2.24726505302421E+023
0.001,1.21492786048403E+023,2.36105078021962E+023
0.0011,1.21362713752448E+023,2.49040113210505E+023
0.0012,1.21225177288992E+023,2.6377756130537E+023
0.0013,1.21079442477625E+023,2.80608647202486E+023
0.0014,1.20925019864742E+023,2.99877212060492E+023
0.0015,1.20761052906529E+023,3.21987055104839E+023
0.0016,1.20587052149381E+023,3.4742395904008E+023
0.0017,1.20402038686085E+023,3.76759360951927E+023
0.0018,1.20205033609426E+023,4.10679719523643E+023
0.0019,1.19995180375595E+023,4.50002422278256E+023
0.002,1.19771255350573E+023,4.95706376428978E+023
0.0021,1.19532034900345E+023,5.48969941533707E+023
0.0022,1.19276295390894E+023,6.11207638515532E+023
0.0023,1.19002323734597E+023,6.84123989559453E+023
0.0024,1.18708651570634E+023,7.69774699813209E+023
0.0025,1.18393321084579E+023,8.70641299062286E+023
0.0026,1.18054374462006E+023,9.89722914281153E+023
0.0027,1.1768936443488E+023,1.1306427257927E+024
0.0028,1.1729584373517E+023,1.29777400157194E+024
0.0029,1.16870998004637E+023,1.49638203879193E+024
0.003,1.16411401068036E+023,1.73277589444178E+024
0.0031,1.15913504386717E+023,2.01452986308372E+024
0.0032,1.15373269968427E+023,2.35058870937845E+024
0.0033,1.14785925640502E+023,2.75146344952778E+024
0.0034,1.14146332140071E+023,3.22931700565586E+024
0.0035,1.13448493660455E+023,3.79792749678859E+024
0.0036,1.12685680214562E+023,4.47249245741106E+024
0.0037,1.11850060544686E+023,5.26906596581988E+024
0.0038,1.10932579759105E+023,6.20360420959038E+024
0.0039,1.09923326422287E+023,7.29043594305591E+024
0.004,1.08810186557466E+023,8.54002323705763E+024
0.0041,1.07579700190462E+023,9.95620830240739E+024
0.0042,1.06216082442462E+023,1.15331176958259E+025
0.0043,1.04700611713012E+023,1.32523234890246E+025
0.0044,1.03011996770226E+023,1.50815339803077E+025
0.0045,1.01124663663159E+023,1.69747405306543E+025
0.0046,9.90086333584057E+022,1.88760230655099E+025
0.0047,9.66286651962908E+022,2.07254235180653E+025
0.0048,9.39426661666464E+022,2.24664099967579E+025
0.0049,9.09001001845905E+022,2.40526067723618E+025
0.005,8.74403973663059E+022,2.54525664506526E+025
0.0051,8.34906291244084E+022,2.66513606966289E+025
0.0052,7.89619596292993E+022,2.76491118736924E+025
0.0053,7.37460972705173E+022,2.84573221415983E+025
0.0054,6.77096659402628E+022,2.90941012837909E+025
0.0055,6.06880868633148E+022,2.95803734419525E+025
0.0056,5.24764013419077E+022,2.99349825799376E+025
0.0057,4.28178909593774E+022,3.01695532209028E+025
0.0058,3.13881703379466E+022,3.02860431792747E+025
0.0059,1.77752419042561E+022,3.54059726311622E+025
0.006,-5.38955720742577E+021,-1.08611468393185E+025
0.006,1.79973314782529E+023,1.79981880220645E+023
0.0061,1.78770482544299E+023,1.78780271616431E+023
0.0062,1.71618341717789E+023,1.71628130789921E+023
0.0063,1.63877632929337E+023,1.63886198367453E+023
0.0064,1.55485950844101E+023,1.55494516282217E+023
0.0065,1.46380890127239E+023,1.46389455565355E+023
0.0066,1.36486585469727E+023,1.36493927273826E+023
0.0067,1.25718606124426E+023,1.25727171562541E+023
0.0068,1.13986770264318E+023,1.13993744978212E+023
0.0069,1.0118400991296E+023,1.01190495173247E+023
0.007,8.60762901646989E+022,8.60819188811748E+022
0.007,1.62026274662355E+024,1.30602129484323E+026
0.0071,1.59981582220764E+024,1.41386016071839E+026
0.0072,1.53649276185317E+024,1.49600271224681E+026
0.0073,1.46856883759662E+024,1.57851235398018E+026
0.0074,1.39595839505683E+024,1.66016545190199E+026
0.0075,1.31868590691412E+024,1.73945693617194E+026
0.0076,1.23692268193083E+024,1.81466148282673E+026
0.0077,1.15106640116229E+024,1.88389469548096E+026
0.0078,1.06183778504426E+024,1.94522323238851E+026
0.0079,9.7040418042847E+023,1.99706860566811E+026
0.008,8.78547198442967E+023,2.03877005295082E+026
0.0081,7.88890310419152E+023,2.07182040773679E+026
0.0082,7.05216992736079E+023,2.10205640428479E+026
0.0083,6.32895327824182E+023,2.14343970672321E+026
0.0084,5.79466572127224E+023,2.22438309691545E+026
0.0085,5.8349110440753E+023,2.49040113210505E+026
