x(m),solute(m-3),retention(m-3)
0,1.17427384391946E+023,1.59199680084214E+023
0.0001,1.22400110671647E+023,1.69993355743862E+023
0.0002,1.22317637738934E+023,1.74394767301254E+023
0.0003,1.22231616267573E+023,1.79316223315663E+023
0.0004,1.22141312077155E+023,1.84829918194064E+023
0.0005,1.22046358077473E+023,1.91020282683596E+023
0.0006,1.21946387178324E+023,1.97982760237546E+023
0.0007,1.21841277016306E+023,2.05829925185435E+023
0.0008,1.2173041577441E+023,2.14691482733011E+023
0.0009,1.21613558725833E+023,2.24722834400372E+023
0.001,1.21490094053567E+023,2.36100183485896E+023
0.0011,1.21359654667407E+023,2.49033995040423E+023
0.0012,1.21221628750344E+023,2.63770219501271E+023
0.0013,1.21075526848773E+023,2.80600081764371E+023
0.0014,1.20920737145684E+023,2.99866199354345E+023
0.0015,1.20756403097267E+023,3.21974818764675E+023
0.0016,1.20581912886512E+023,3.47409275431883E+023
0.0017,1.20396409969609E+023,3.76742230075697E+023
0.0018,1.20198915439344E+023,4.10658917745363E+023
0.0019,1.19988450388504E+023,4.49976725963911E+023
0.002,1.19763913546474E+023,4.95677009212583E+023
0.0021,1.19524081279238E+023,5.4893445614723E+023
0.0022,1.19267607589377E+023,6.11164811324956E+023
0.0023,1.18993024116072E+023,6.84071373296745E+023
0.0024,1.18698495408298E+023,7.69709847210336E+023
0.0025,1.18382430741833E+023,8.70562986485232E+023
0.0026,1.18042505212046E+023,9.89626247193852E+023
0.0027,1.17676638641109E+023,1.1305240332931E+024
0.0028,1.17282016670784E+023,1.29762716548996E+024
0.0029,1.16856069669636E+023,1.49619849368945E+024
0.003,1.16395249099018E+023,1.73255564031882E+024
0.0031,1.15896006420281E+023,2.01424842725993E+024
0.0032,1.15354426004573E+023,2.35023385551366E+024
0.0033,1.14765613315828E+023,2.75101070494168E+024
0.0034,1.14124306727774E+023,3.22875413400827E+024
0.0035,1.13424755160535E+023,3.79721778905902E+024
0.0036,1.12659983900215E+023,4.47161144091918E+024
0.0037,1.1182216168911E+023,5.26796469520504E+024
0.0038,1.109024783623E+023,6.20224597583207E+024
0.0039,1.09890777757448E+023,7.28877180079347E+024
0.004,1.08775068261193E+023,8.53799200459024E+024
0.0041,1.07541767535951E+023,9.95377327071456E+024
0.0042,1.06175090702909E+023,1.15302543922273E+025
0.0043,1.04656438525017E+023,1.32490196771801E+025
0.0044,1.02964519770386E+023,1.50778630782582E+025
0.0045,1.01073760488072E+023,1.69707025383998E+025
0.0046,9.89544263714745E+022,1.88717403464521E+025
0.0047,9.6571154397515E+022,2.07211407990076E+025
0.0048,9.3881851556026E+022,2.24621272777002E+025
0.0049,9.08362264889289E+022,2.40484464167057E+025
0.005,8.73739540392096E+022,2.54487731852015E+025
0.0051,8.3422105619484E+022,2.66479345213828E+025
0.0052,7.8891967763555E+022,2.76460527886512E+025
0.0053,7.36753712243632E+022,2.8454630146762E+025
0.0054,6.76393069843135E+022,2.90917763791596E+025
0.0055,6.06195633583903E+022,2.95782932641246E+025
0.0056,5.2411426375631E+022,2.99331471289129E+025
0.0057,4.275878943638E+022,3.01678401332798E+025
0.0058,3.13384907968764E+022,3.02843300916517E+025
0.0059,1.77403683347856E+022,3.54067068115722E+025
0.006,-5.379939444056E+021,-1.08896819845836E+025
0.006,1.25514259243669E+023,1.25520377413751E+023
0.0061,1.21968412590621E+023,1.21974775487507E+023
0.0062,1.14844048256286E+023,1.14850166426369E+023
0.0063,1.07132094867223E+023,1.07137968310502E+023
0.0064,9.87738179906374E+022,9.87793243437117E+022
0.0065,8.97030190262376E+022,8.97080359257053E+022
0.0066,7.98457904794258E+022,7.98504402886885E+022
0.0067,6.91194146906859E+022,6.9123575046342E+022
0.0068,5.74308954747629E+022,5.74344440134108E+022
0.0069,4.46757344866469E+022,4.46785488448849E+022
0.007,2.68602350232475E+022,2.68619481108706E+022
0.007,5.80093072743679E+023,5.08219257881826E+025
0.0071,5.2277438450823E+023,5.08231494221991E+025
0.0072,4.64371556534152E+023,5.02422903545611E+025
0.0073,4.0571421268464E+023,4.89951625649325E+025
0.0074,3.47740880250357E+023,4.70161792700285E+025
0.0075,2.91514897191653E+023,4.42683867225502E+025
0.0076,2.38181584947983E+023,4.07565570951622E+025
0.0077,1.88900948566998E+023,3.65430957227064E+025
0.0078,1.44743667813147E+023,3.17589314449497E+025
0.0079,1.06587822456678E+023,2.66090229596577E+025
0.008,7.49965288719907E+022,2.13651393818976E+025
0.0081,5.01374249193461E+022,1.6343467741536E+025
0.0082,3.17544039990886E+022,1.18708773934036E+025
0.0083,1.92329571081263E+022,8.25393760399726E+024
0.0084,1.17930297972732E+022,5.79099481922272E+024
0.0085,9.4544449375967E+021,5.30758596465968E+024
