"arc_length","retention"
0,3.14797e+24
8.5e-06,1.66033e+23
1.7e-05,1.66245e+23
2.55e-05,1.6646e+23
3.4e-05,1.66677e+23
4.25e-05,1.66896e+23
5.1e-05,1.67117e+23
5.95e-05,1.67341e+23
6.8e-05,1.67566e+23
7.65e-05,1.67794e+23
8.5e-05,1.68025e+23
9.35e-05,1.68257e+23
0.000102,1.68493e+23
0.0001105,1.6873e+23
0.000119,1.6897e+23
0.0001275,1.69212e+23
0.000136,1.69457e+23
0.0001445,1.69704e+23
0.000153,1.69954e+23
0.0001615,1.70206e+23
0.00017,1.70461e+23
0.0001785,1.70718e+23
0.000187,1.70978e+23
0.0001955,1.7124e+23
0.000204,1.71505e+23
0.0002125,1.71773e+23
0.000221,1.72044e+23
0.0002295,1.72317e+23
0.000238,1.72593e+23
0.0002465,1.72872e+23
0.000255,1.73154e+23
0.0002635,1.73438e+23
0.000272,1.73726e+23
0.0002805,1.74016e+23
0.000289,1.74309e+23
0.0002975,1.74605e+23
0.000306,1.74904e+23
0.0003145,1.75206e+23
0.000323,1.75512e+23
0.0003315,1.7582e+23
0.00034,1.76131e+23
0.0003485,1.76446e+23
0.000357,1.76764e+23
0.0003655,1.77085e+23
0.000374,1.77409e+23
0.0003825,1.77736e+23
0.000391,1.78067e+23
0.0003995,1.78401e+23
0.000408,1.78738e+23
0.0004165,1.79079e+23
0.000425,1.79424e+23
0.0004335,1.79771e+23
0.000442,1.80123e+23
0.0004505,1.80477e+23
0.000459,1.80836e+23
0.0004675,1.81198e+23
0.000476,1.81564e+23
0.0004845,1.81933e+23
0.000493,1.82306e+23
0.0005015,1.82683e+23
0.00051,1.83064e+23
0.0005185,1.83448e+23
0.000527,1.83836e+23
0.0005355,1.84229e+23
0.000544,1.84625e+23
0.0005525,1.85025e+23
0.000561,1.8543e+23
0.0005695,1.85838e+23
0.000578,1.86251e+23
0.0005865,1.86667e+23
0.000595,1.87088e+23
0.0006035,1.87514e+23
0.000612,1.87943e+23
0.0006205,1.88377e+23
0.000629,1.88815e+23
0.0006375,1.89258e+23
0.000646,1.89705e+23
0.0006545,1.90156e+23
0.000663,1.90613e+23
0.0006715,1.91073e+23
0.00068,1.91539e+23
0.0006885,1.92009e+23
0.000697,1.92484e+23
0.0007055,1.92964e+23
0.000714,1.93448e+23
0.0007225,1.93938e+23
0.000731,1.94432e+23
0.0007395,1.94932e+23
0.000748,1.95436e+23
0.0007565,1.95946e+23
0.000765,1.96461e+23
0.0007735,1.96981e+23
0.000782,1.97506e+23
0.0007905,1.98036e+23
0.000799,1.98572e+23
0.0008075,1.99114e+23
0.000816,1.99661e+23
0.0008245,2.00213e+23
0.000833,2.00771e+23
0.0008415,2.01335e+23
0.00085,2.01904e+23
0.0008585,2.02479e+23
0.000867,2.0306e+23
0.0008755,2.03647e+23
0.000884,2.0424e+23
0.0008925,2.04838e+23
0.000901,2.05443e+23
0.0009095,2.06054e+23
0.000918,2.06672e+23
0.0009265,2.07295e+23
0.000935,2.07925e+23
0.0009435,2.08561e+23
0.000952,2.09203e+23
0.0009605,2.09853e+23
0.000969,2.10508e+23
0.0009775,2.11171e+23
0.000986,2.1184e+23
0.0009945,2.12515e+23
0.001003,2.13198e+23
0.0010115,2.13888e+23
0.00102,2.14584e+23
0.0010285,2.15288e+23
0.001037,2.15999e+23
0.0010455,2.16717e+23
0.001054,2.17442e+23
0.0010625,2.18175e+23
0.001071,2.18915e+23
0.0010795,2.19662e+23
0.001088,2.20418e+23
0.0010965,2.2118e+23
0.001105,2.21951e+23
0.0011135,2.22729e+23
0.001122,2.23516e+23
0.0011305,2.2431e+23
0.001139,2.25112e+23
0.0011475,2.25923e+23
0.001156,2.26741e+23
0.0011645,2.27568e+23
0.001173,2.28403e+23
0.0011815,2.29247e+23
0.00119,2.301e+23
0.0011985,2.30961e+23
0.001207,2.3183e+23
0.0012155,2.32709e+23
0.001224,2.33596e+23
0.0012325,2.34493e+23
0.001241,2.35398e+23
0.0012495,2.36313e+23
0.001258,2.37236e+23
0.0012665,2.3817e+23
0.001275,2.39112e+23
0.0012835,2.40065e+23
0.001292,2.41027e+23
0.0013005,2.41998e+23
0.001309,2.4298e+23
0.0013175,2.43971e+23
0.001326,2.44972e+23
0.0013345,2.45984e+23
0.001343,2.47005e+23
0.0013515,2.48037e+23
0.00136,2.4908e+23
0.0013685,2.50133e+23
0.001377,2.51196e+23
0.0013855,2.52271e+23
0.001394,2.53356e+23
0.0014025,2.54452e+23
0.001411,2.55559e+23
0.0014195,2.56677e+23
0.001428,2.57807e+23
0.0014365,2.58948e+23
0.001445,2.601e+23
0.0014535,2.61264e+23
0.001462,2.6244e+23
0.0014705,2.63627e+23
0.001479,2.64827e+23
0.0014875,2.66038e+23
0.001496,2.67262e+23
0.0015045,2.68498e+23
0.001513,2.69746e+23
0.0015215,2.71007e+23
0.00153,2.7228e+23
0.0015385,2.73567e+23
0.001547,2.74866e+23
0.0015555,2.76178e+23
0.001564,2.77503e+23
0.0015725,2.78841e+23
0.001581,2.80193e+23
0.0015895,2.81558e+23
0.001598,2.82937e+23
0.0016065,2.84329e+23
0.001615,2.85736e+23
0.0016235,2.87156e+23
0.001632,2.88591e+23
0.0016405,2.90039e+23
0.001649,2.91502e+23
0.0016575,2.9298e+23
0.001666,2.94472e+23
0.0016745,2.95979e+23
0.001683,2.97501e+23
0.0016915,2.99038e+23
0.0017,3.0059e+23
0.0017085,3.02157e+23
0.001717,3.0374e+23
0.0017255,3.05338e+23
0.001734,3.06952e+23
0.0017425,3.08582e+23
