"arc_length","retention"
0,3.14797e+24
8.5e-06,1.66147e+23
1.7e-05,1.66476e+23
2.55e-05,1.66807e+23
3.4e-05,1.67141e+23
4.25e-05,1.67479e+23
5.1e-05,1.67819e+23
5.95e-05,1.68163e+23
6.8e-05,1.6851e+23
7.65e-05,1.6886e+23
8.5e-05,1.69214e+23
9.35e-05,1.6957e+23
0.000102,1.6993e+23
0.0001105,1.70294e+23
0.000119,1.70661e+23
0.0001275,1.71031e+23
0.000136,1.71405e+23
0.0001445,1.71782e+23
0.000153,1.72163e+23
0.0001615,1.72548e+23
0.00017,1.72936e+23
0.0001785,1.73328e+23
0.000187,1.73723e+23
0.0001955,1.74123e+23
0.000204,1.74526e+23
0.0002125,1.74933e+23
0.000221,1.75344e+23
0.0002295,1.75759e+23
0.000238,1.76177e+23
0.0002465,1.766e+23
0.000255,1.77027e+23
0.0002635,1.77458e+23
0.000272,1.77893e+23
0.0002805,1.78333e+23
0.000289,1.78776e+23
0.0002975,1.79224e+23
0.000306,1.79676e+23
0.0003145,1.80133e+23
0.000323,1.80594e+23
0.0003315,1.8106e+23
0.00034,1.8153e+23
0.0003485,1.82004e+23
0.000357,1.82484e+23
0.0003655,1.82968e+23
0.000374,1.83457e+23
0.0003825,1.8395e+23
0.000391,1.84449e+23
0.0003995,1.84952e+23
0.000408,1.85461e+23
0.0004165,1.85974e+23
0.000425,1.86493e+23
0.0004335,1.87016e+23
0.000442,1.87545e+23
0.0004505,1.88079e+23
0.000459,1.88619e+23
0.0004675,1.89163e+23
0.000476,1.89714e+23
0.0004845,1.90269e+23
0.000493,1.90831e+23
0.0005015,1.91398e+23
0.00051,1.9197e+23
0.0005185,1.92549e+23
0.000527,1.93133e+23
0.0005355,1.93723e+23
0.000544,1.9432e+23
0.0005525,1.94922e+23
0.000561,1.9553e+23
0.0005695,1.96145e+23
0.000578,1.96765e+23
0.0005865,1.97393e+23
0.000595,1.98026e+23
0.0006035,1.98666e+23
0.000612,1.99313e+23
0.0006205,1.99966e+23
0.000629,2.00626e+23
0.0006375,2.01292e+23
0.000646,2.01966e+23
0.0006545,2.02646e+23
0.000663,2.03334e+23
0.0006715,2.04028e+23
0.00068,2.0473e+23
0.0006885,2.05439e+23
0.000697,2.06156e+23
0.0007055,2.0688e+23
0.000714,2.07612e+23
0.0007225,2.08351e+23
0.000731,2.09098e+23
0.0007395,2.09852e+23
0.000748,2.10615e+23
0.0007565,2.11386e+23
0.000765,2.12165e+23
0.0007735,2.12952e+23
0.000782,2.13747e+23
0.0007905,2.14551e+23
0.000799,2.15363e+23
0.0008075,2.16184e+23
0.000816,2.17013e+23
0.0008245,2.17852e+23
0.000833,2.18699e+23
0.0008415,2.19556e+23
0.00085,2.20421e+23
0.0008585,2.21296e+23
0.000867,2.2218e+23
