"arc_length","retention"
0,3.14797e+24
8.5e-06,1.66087e+23
1.7e-05,1.66355e+23
2.55e-05,1.66625e+23
3.4e-05,1.66898e+23
4.25e-05,1.67174e+23
5.1e-05,1.67452e+23
5.95e-05,1.67732e+23
6.8e-05,1.68016e+23
7.65e-05,1.68302e+23
8.5e-05,1.68591e+23
9.35e-05,1.68883e+23
0.000102,1.69178e+23
0.0001105,1.69475e+23
0.000119,1.69776e+23
0.0001275,1.70079e+23
0.000136,1.70385e+23
0.0001445,1.70694e+23
0.000153,1.71006e+23
0.0001615,1.71322e+23
0.00017,1.7164e+23
0.0001785,1.71961e+23
0.000187,1.72286e+23
0.0001955,1.72614e+23
0.000204,1.72945e+23
0.0002125,1.73279e+23
0.000221,1.73616e+23
0.0002295,1.73957e+23
0.000238,1.74301e+23
0.0002465,1.74648e+23
0.000255,1.74999e+23
0.0002635,1.75354e+23
0.000272,1.75711e+23
0.0002805,1.76073e+23
0.000289,1.76437e+23
0.0002975,1.76806e+23
0.000306,1.77178e+23
0.0003145,1.77554e+23
0.000323,1.77933e+23
0.0003315,1.78316e+23
0.00034,1.78703e+23
0.0003485,1.79094e+23
0.000357,1.79489e+23
0.0003655,1.79888e+23
0.000374,1.8029e+23
0.0003825,1.80697e+23
0.000391,1.81107e+23
0.0003995,1.81522e+23
0.000408,1.81941e+23
0.0004165,1.82364e+23
0.000425,1.82791e+23
0.0004335,1.83223e+23
0.000442,1.83659e+23
0.0004505,1.84099e+23
0.000459,1.84544e+23
0.0004675,1.84993e+23
0.000476,1.85446e+23
0.0004845,1.85904e+23
0.000493,1.86367e+23
0.0005015,1.86835e+23
0.00051,1.87307e+23
0.0005185,1.87784e+23
0.000527,1.88265e+23
0.0005355,1.88752e+23
0.000544,1.89243e+23
0.0005525,1.8974e+23
0.000561,1.90241e+23
0.0005695,1.90748e+23
0.000578,1.91259e+23
0.0005865,1.91776e+23
0.000595,1.92298e+23
0.0006035,1.92826e+23
0.000612,1.93359e+23
0.0006205,1.93897e+23
0.000629,1.94441e+23
0.0006375,1.9499e+23
0.000646,1.95545e+23
0.0006545,1.96105e+23
0.000663,1.96672e+23
0.0006715,1.97244e+23
0.00068,1.97822e+23
0.0006885,1.98406e+23
0.000697,1.98995e+23
0.0007055,1.99591e+23
0.000714,2.00194e+23
0.0007225,2.00802e+23
0.000731,2.01416e+23
0.0007395,2.02037e+23
0.000748,2.02665e+23
0.0007565,2.03299e+23
0.000765,2.03939e+23
0.0007735,2.04586e+23
0.000782,2.0524e+23
0.0007905,2.059e+23
0.000799,2.06568e+23
0.0008075,2.07242e+23
0.000816,2.07923e+23
0.0008245,2.08612e+23
0.000833,2.09307e+23
0.0008415,2.1001e+23
0.00085,2.10721e+23
0.0008585,2.11438e+23
0.000867,2.12163e+23
0.0008755,2.12896e+23
0.000884,2.13637e+23
0.0008925,2.14385e+23
0.000901,2.15141e+23
0.0009095,2.15905e+23
0.000918,2.16677e+23
0.0009265,2.17457e+23
0.000935,2.18246e+23
0.0009435,2.19043e+23
0.000952,2.19848e+23
0.0009605,2.20662e+23
0.000969,2.21484e+23
0.0009775,2.22315e+23
0.000986,2.23155e+23
0.0009945,2.24004e+23
0.001003,2.24862e+23
0.0010115,2.25728e+23
0.00102,2.26605e+23
0.0010285,2.2749e+23
0.001037,2.28385e+23
0.0010455,2.2929e+23
0.001054,2.30204e+23
0.0010625,2.31128e+23
0.001071,2.32062e+23
0.0010795,2.33006e+23
0.001088,2.3396e+23
0.0010965,2.34924e+23
0.001105,2.35899e+23
0.0011135,2.36884e+23
0.001122,2.37879e+23
0.0011305,2.38886e+23
0.001139,2.39903e+23
0.0011475,2.40932e+23
0.001156,2.41971e+23
0.0011645,2.43022e+23
0.001173,2.44084e+23
0.0011815,2.45157e+23
0.00119,2.46243e+23
0.0011985,2.4734e+23
0.001207,2.48449e+23
0.0012155,2.4957e+23
0.001224,2.50703e+23
0.0012325,2.51848e+23
0.001241,2.53007e+23
0.0012495,2.54177e+23
0.001258,2.55361e+23
0.0012665,2.56557e+23
0.001275,2.57767e+23
0.0012835,2.5899e+23
0.001292,2.60226e+23
0.0013005,2.61476e+23
0.001309,2.6274e+23
0.0013175,2.64017e+23
0.001326,2.65309e+23
0.0013345,2.66615e+23
0.001343,2.67935e+23
0.0013515,2.6927e+23
0.00136,2.7062e+23
0.0013685,2.71985e+23
0.001377,2.73364e+23
0.0013855,2.74759e+23
0.001394,2.7617e+23
0.0014025,2.77596e+23
0.001411,2.79038e+23
0.0014195,2.80496e+23
0.001428,2.8197e+23
0.0014365,2.83461e+23
0.001445,2.84969e+23
0.0014535,2.86493e+23
0.001462,2.88034e+23
0.0014705,2.89593e+23
0.001479,2.91169e+23
0.0014875,2.92763e+23
0.001496,2.94374e+23
0.0015045,2.96004e+23
0.001513,2.97652e+23
0.0015215,2.99318e+23
0.00153,3.01004e+23
0.0015385,3.02708e+23
0.001547,3.04432e+23
0.0015555,3.06175e+23
0.001564,3.07937e+23
0.0015725,3.0972e+23
0.001581,3.11523e+23
0.0015895,3.13346e+23
0.001598,3.1519e+23
0.0016065,3.17055e+23
0.001615,3.18941e+23
0.0016235,3.20848e+23
0.001632,3.22777e+23
0.0016405,3.24729e+23
0.001649,3.26702e+23
0.0016575,3.28698e+23
0.001666,3.30717e+23
0.0016745,3.32758e+23
0.001683,3.34824e+23
0.0016915,3.36912e+23
0.0017,3.39025e+23
0.0017085,3.41162e+23
0.001717,3.43323e+23
0.0017255,3.4551e+23
0.001734,3.47721e+23
0.0017425,3.49958e+23
