"arc_length","retention"
0,3.14797e+24
8.5e-06,1.66129e+23
1.7e-05,1.66439e+23
2.55e-05,1.66752e+23
3.4e-05,1.67067e+23
4.25e-05,1.67386e+23
5.1e-05,1.67707e+23
5.95e-05,1.68032e+23
6.8e-05,1.68359e+23
7.65e-05,1.6869e+23
8.5e-05,1.69024e+23
9.35e-05,1.69361e+23
0.000102,1.69701e+23
0.0001105,1.70044e+23
0.000119,1.70391e+23
0.0001275,1.70741e+23
0.000136,1.71094e+23
0.0001445,1.71451e+23
0.000153,1.71811e+23
0.0001615,1.72174e+23
0.00017,1.72541e+23
0.0001785,1.72911e+23
0.000187,1.73285e+23
0.0001955,1.73663e+23
0.000204,1.74044e+23
0.0002125,1.74429e+23
0.000221,1.74817e+23
0.0002295,1.7521e+23
0.000238,1.75606e+23
0.0002465,1.76005e+23
0.000255,1.76409e+23
0.0002635,1.76817e+23
0.000272,1.77228e+23
0.0002805,1.77644e+23
0.000289,1.78063e+23
0.0002975,1.78487e+23
0.000306,1.78915e+23
0.0003145,1.79347e+23
0.000323,1.79783e+23
0.0003315,1.80224e+23
0.00034,1.80668e+23
0.0003485,1.81118e+23
0.000357,1.81571e+23
0.0003655,1.82029e+23
0.000374,1.82492e+23
0.0003825,1.82959e+23
0.000391,1.83431e+23
0.0003995,1.83907e+23
0.000408,1.84388e+23
0.0004165,1.84874e+23
0.000425,1.85365e+23
0.0004335,1.8586e+23
0.000442,1.86361e+23
0.0004505,1.86866e+23
0.000459,1.87377e+23
0.0004675,1.87892e+23
0.000476,1.88413e+23
0.0004845,1.88939e+23
0.000493,1.89471e+23
0.0005015,1.90007e+23
0.00051,1.90549e+23
0.0005185,1.91097e+23
0.000527,1.9165e+23
0.0005355,1.92208e+23
0.000544,1.92773e+23
0.0005525,1.93343e+23
0.000561,1.93918e+23
0.0005695,1.945e+23
0.000578,1.95087e+23
0.0005865,1.95681e+23
0.000595,1.9628e+23
0.0006035,1.96886e+23
0.000612,1.97498e+23
0.0006205,1.98116e+23
0.000629,1.98741e+23
0.0006375,1.99372e+23
0.000646,2.00009e+23
0.0006545,2.00653e+23
0.000663,2.01303e+23
0.0006715,2.01961e+23
0.00068,2.02625e+23
0.0006885,2.03296e+23
0.000697,2.03974e+23
0.0007055,2.04659e+23
0.000714,2.05351e+23
0.0007225,2.0605e+23
0.000731,2.06757e+23
0.0007395,2.07471e+23
0.000748,2.08192e+23
0.0007565,2.08921e+23
0.000765,2.09658e+23
0.0007735,2.10402e+23
0.000782,2.11154e+23
0.0007905,2.11914e+23
0.000799,2.12682e+23
0.0008075,2.13459e+23
0.000816,2.14243e+23
0.0008245,2.15036e+23
0.000833,2.15837e+23
0.0008415,2.16647e+23
0.00085,2.17465e+23
0.0008585,2.18292e+23
0.000867,2.19128e+23
0.0008755,2.19972e+23
0.000884,2.20826e+23
0.0008925,2.21689e+23
0.000901,2.22561e+23
0.0009095,2.23442e+23
0.000918,2.24333e+23
0.0009265,2.25234e+23
0.000935,2.26144e+23
0.0009435,2.27064e+23
0.000952,2.27994e+23
0.0009605,2.28934e+23
0.000969,2.29884e+23
0.0009775,2.30845e+23
0.000986,2.31816e+23
0.0009945,2.32797e+23
0.001003,2.3379e+23
0.0010115,2.34793e+23
0.00102,2.35807e+23
0.0010285,2.36832e+23
0.001037,2.37869e+23
0.0010455,2.38916e+23
0.001054,2.39976e+23
0.0010625,2.41047e+23
0.001071,2.42129e+23
0.0010795,2.43224e+23
0.001088,2.44331e+23
0.0010965,2.4545e+23
0.001105,2.46581e+23
0.0011135,2.47726e+23
0.001122,2.48882e+23
0.0011305,2.50052e+23
0.001139,2.51235e+23
0.0011475,2.52431e+23
0.001156,2.5364e+23
0.0011645,2.54863e+23
0.001173,2.56099e+23
0.0011815,2.5735e+23
0.00119,2.58614e+23
0.0011985,2.59893e+23
0.001207,2.61186e+23
0.0012155,2.62494e+23
0.001224,2.63816e+23
0.0012325,2.65154e+23
0.001241,2.66506e+23
0.0012495,2.67874e+23
0.001258,2.69258e+23
0.0012665,2.70657e+23
0.001275,2.72073e+23
0.0012835,2.73504e+23
0.001292,2.74952e+23
0.0013005,2.76416e+23
0.001309,2.77898e+23
0.0013175,2.79396e+23
0.001326,2.80911e+23
0.0013345,2.82444e+23
0.001343,2.83995e+23
0.0013515,2.85563e+23
0.00136,2.8715e+23
0.0013685,2.88755e+23
0.001377,2.90379e+23
0.0013855,2.92022e+23
0.001394,2.93683e+23
0.0014025,2.95364e+23
0.001411,2.97065e+23
0.0014195,2.98786e+23
0.001428,3.00526e+23
0.0014365,3.02287e+23
0.001445,3.04069e+23
0.0014535,3.05872e+23
0.001462,3.07696e+23
0.0014705,3.09541e+23
0.001479,3.11408e+23
0.0014875,3.13298e+23
0.001496,3.15209e+23
0.0015045,3.17144e+23
0.001513,3.19101e+23
0.0015215,3.21081e+23
0.00153,3.23086e+23
0.0015385,3.25114e+23
0.001547,3.27166e+23
0.0015555,3.29243e+23
0.001564,3.31344e+23
0.0015725,3.33471e+23
0.001581,3.35623e+23
0.0015895,3.37802e+23
0.001598,3.40006e+23
0.0016065,3.42237e+23
0.001615,3.44495e+23
0.0016235,3.46781e+23
0.001632,3.49094e+23
0.0016405,3.51435e+23
0.001649,3.53804e+23
0.0016575,3.56203e+23
0.001666,3.5863e+23
0.0016745,3.61087e+23
0.001683,3.63575e+23
0.0016915,3.66092e+23
