"arc_length","retention"
0,3.14797e+24
8.5e-06,1.66141e+23
1.7e-05,1.66463e+23
2.55e-05,1.66788e+23
3.4e-05,1.67116e+23
4.25e-05,1.67447e+23
5.1e-05,1.67781e+23
5.95e-05,1.68118e+23
6.8e-05,1.68459e+23
7.65e-05,1.68802e+23
8.5e-05,1.69149e+23
9.35e-05,1.69499e+23
0.000102,1.69852e+23
0.0001105,1.70209e+23
0.000119,1.70569e+23
0.0001275,1.70932e+23
0.000136,1.71299e+23
0.0001445,1.71669e+23
0.000153,1.72043e+23
0.0001615,1.72421e+23
0.00017,1.72801e+23
0.0001785,1.73186e+23
0.000187,1.73574e+23
0.0001955,1.73966e+23
0.000204,1.74362e+23
0.0002125,1.74761e+23
0.000221,1.75164e+23
0.0002295,1.75572e+23
0.000238,1.75983e+23
0.0002465,1.76398e+23
0.000255,1.76817e+23
0.0002635,1.7724e+23
0.000272,1.77667e+23
0.0002805,1.78098e+23
0.000289,1.78533e+23
0.0002975,1.78973e+23
0.000306,1.79417e+23
0.0003145,1.79865e+23
0.000323,1.80318e+23
0.0003315,1.80775e+23
0.00034,1.81236e+23
0.0003485,1.81702e+23
0.000357,1.82173e+23
0.0003655,1.82648e+23
0.000374,1.83128e+23
0.0003825,1.83613e+23
0.000391,1.84102e+23
0.0003995,1.84596e+23
0.000408,1.85095e+23
0.0004165,1.85599e+23
0.000425,1.86108e+23
0.0004335,1.86622e+23
0.000442,1.87142e+23
0.0004505,1.87666e+23
0.000459,1.88196e+23
0.0004675,1.8873e+23
0.000476,1.89271e+23
0.0004845,1.89816e+23
0.000493,1.90367e+23
0.0005015,1.90924e+23
0.00051,1.91486e+23
0.0005185,1.92054e+23
0.000527,1.92628e+23
0.0005355,1.93207e+23
0.000544,1.93793e+23
0.0005525,1.94384e+23
0.000561,1.94981e+23
0.0005695,1.95584e+23
0.000578,1.96194e+23
0.0005865,1.96809e+23
0.000595,1.97431e+23
0.0006035,1.9806e+23
0.000612,1.98694e+23
0.0006205,1.99336e+23
0.000629,1.99983e+23
0.0006375,2.00638e+23
0.000646,2.01299e+23
0.0006545,2.01967e+23
0.000663,2.02642e+23
0.0006715,2.03324e+23
0.00068,2.04013e+23
0.0006885,2.04709e+23
0.000697,2.05413e+23
0.0007055,2.06123e+23
0.000714,2.06841e+23
0.0007225,2.07567e+23
