"arc_length","retention"
0,3.14797e+24
8.5e-06,1.65902e+23
1.7e-05,1.65983e+23
2.55e-05,1.66065e+23
3.4e-05,1.66148e+23
4.25e-05,1.66232e+23
5.1e-05,1.66318e+23
5.95e-05,1.66405e+23
6.8e-05,1.66493e+23
7.65e-05,1.66582e+23
8.5e-05,1.66672e+23
9.35e-05,1.66764e+23
0.000102,1.66857e+23
0.0001105,1.66951e+23
0.000119,1.67046e+23
0.0001275,1.67143e+23
0.000136,1.67241e+23
0.0001445,1.6734e+23
0.000153,1.67441e+23
0.0001615,1.67542e+23
0.00017,1.67645e+23
0.0001785,1.6775e+23
0.000187,1.67856e+23
0.0001955,1.67963e+23
0.000204,1.68071e+23
0.0002125,1.68181e+23
0.000221,1.68293e+23
0.0002295,1.68405e+23
0.000238,1.6852e+23
0.0002465,1.68635e+23
0.000255,1.68752e+23
0.0002635,1.6887e+23
0.000272,1.6899e+23
0.0002805,1.69112e+23
0.000289,1.69234e+23
0.0002975,1.69359e+23
0.000306,1.69484e+23
0.0003145,1.69612e+23
0.000323,1.69741e+23
0.0003315,1.69871e+23
0.00034,1.70003e+23
0.0003485,1.70136e+23
0.000357,1.70271e+23
0.0003655,1.70408e+23
0.000374,1.70546e+23
0.0003825,1.70686e+23
0.000391,1.70827e+23
0.0003995,1.7097e+23
0.000408,1.71115e+23
0.0004165,1.71261e+23
0.000425,1.71409e+23
0.0004335,1.71559e+23
0.000442,1.7171e+23
0.0004505,1.71863e+23
0.000459,1.72018e+23
0.0004675,1.72175e+23
0.000476,1.72333e+23
0.0004845,1.72493e+23
0.000493,1.72655e+23
0.0005015,1.72818e+23
0.00051,1.72983e+23
0.0005185,1.7315e+23
0.000527,1.73319e+23
0.0005355,1.7349e+23
0.000544,1.73662e+23
0.0005525,1.73837e+23
0.000561,1.74013e+23
0.0005695,1.74191e+23
0.000578,1.74371e+23
0.0005865,1.74553e+23
0.000595,1.74736e+23
0.0006035,1.74922e+23
0.000612,1.7511e+23
0.0006205,1.75299e+23
0.000629,1.7549e+23
0.0006375,1.75684e+23
0.000646,1.75879e+23
0.0006545,1.76076e+23
0.000663,1.76276e+23
0.0006715,1.76477e+23
0.00068,1.7668e+23
0.0006885,1.76886e+23
0.000697,1.77093e+23
0.0007055,1.77303e+23
0.000714,1.77514e+23
0.0007225,1.77728e+23
0.000731,1.77943e+23
0.0007395,1.78161e+23
0.000748,1.78381e+23
0.0007565,1.78603e+23
0.000765,1.78827e+23
0.0007735,1.79053e+23
0.000782,1.79282e+23
0.0007905,1.79512e+23
0.000799,1.79745e+23
0.0008075,1.7998e+23
0.000816,1.80217e+23
0.0008245,1.80456e+23
0.000833,1.80697e+23
0.0008415,1.80941e+23
0.00085,1.81187e+23
0.0008585,1.81435e+23
0.000867,1.81685e+23
0.0008755,1.81938e+23
0.000884,1.82193e+23
0.0008925,1.8245e+23
0.000901,1.82709e+23
0.0009095,1.82971e+23
0.000918,1.83235e+23
0.0009265,1.83501e+23
0.000935,1.83769e+23
0.0009435,1.8404e+23
0.000952,1.84313e+23
0.0009605,1.84589e+23
0.000969,1.84867e+23
0.0009775,1.85147e+23
0.000986,1.85429e+23
0.0009945,1.85714e+23
0.001003,1.86001e+23
0.0010115,1.86291e+23
0.00102,1.86583e+23
0.0010285,1.86877e+23
0.001037,1.87173e+23
0.0010455,1.87472e+23
0.001054,1.87774e+23
0.0010625,1.88078e+23
0.001071,1.88384e+23
0.0010795,1.88692e+23
0.001088,1.89003e+23
0.0010965,1.89316e+23
0.001105,1.89632e+23
0.0011135,1.8995e+23
0.001122,1.9027e+23
0.0011305,1.90593e+23
0.001139,1.90918e+23
0.0011475,1.91246e+23
0.001156,1.91576e+23
0.0011645,1.91908e+23
0.001173,1.92243e+23
0.0011815,1.9258e+23
0.00119,1.92919e+23
0.0011985,1.93261e+23
0.001207,1.93605e+23
0.0012155,1.93952e+23
0.001224,1.943e+23
0.0012325,1.94652e+23
0.001241,1.95005e+23
0.0012495,1.95361e+23
0.001258,1.95719e+23
0.0012665,1.96079e+23
0.001275,1.96442e+23
0.0012835,1.96807e+23
0.001292,1.97174e+23
0.0013005,1.97544e+23
0.001309,1.97915e+23
0.0013175,1.98289e+23
0.001326,1.98665e+23
0.0013345,1.99044e+23
0.001343,1.99424e+23
0.0013515,1.99807e+23
0.00136,2.00192e+23
0.0013685,2.00578e+23
0.001377,2.00967e+23
0.0013855,2.01358e+23
0.001394,2.01752e+23
0.0014025,2.02147e+23
0.001411,2.02544e+23
0.0014195,2.02943e+23
0.001428,2.03344e+23
0.0014365,2.03747e+23
0.001445,2.04152e+23
0.0014535,2.04558e+23
0.001462,2.04967e+23
0.0014705,2.05377e+23
0.001479,2.05789e+23
0.0014875,2.06203e+23
0.001496,2.06619e+23
0.0015045,2.07036e+23
0.001513,2.07455e+23
0.0015215,2.07875e+23
0.00153,2.08297e+23
0.0015385,2.0872e+23
0.001547,2.09145e+23
0.0015555,2.09571e+23
0.001564,2.09999e+23
0.0015725,2.10428e+23
0.001581,2.10858e+23
0.0015895,2.11289e+23
0.001598,2.11721e+23
0.0016065,2.12155e+23
0.001615,2.12589e+23
0.0016235,2.13025e+23
0.001632,2.13461e+23
0.0016405,2.13898e+23
0.001649,2.14336e+23
0.0016575,2.14775e+23
0.001666,2.15214e+23
0.0016745,2.15654e+23
0.001683,2.16095e+23
0.0016915,2.16535e+23
0.0017,2.16976e+23
0.0017085,2.17418e+23
0.001717,2.1786e+23
0.0017255,2.18301e+23
0.001734,2.18743e+23
0.0017425,2.19185e+23
0.001751,2.19626e+23
0.0017595,2.20067e+23
0.001768,2.20508e+23
0.0017765,2.20949e+23
0.001785,2.21389e+23
0.0017935,2.21828e+23
0.001802,2.22267e+23
0.0018105,2.22704e+23
0.001819,2.23141e+23
0.0018275,2.23577e+23
0.001836,2.24011e+23
0.0018445,2.24444e+23
0.001853,2.24876e+23
0.0018615,2.25307e+23
0.00187,2.25735e+23
0.0018785,2.26162e+23
0.001887,2.26587e+23
0.0018955,2.2701e+23
0.001904,2.2743e+23
0.0019125,2.27849e+23
0.001921,2.28265e+23
0.0019295,2.28678e+23
0.001938,2.29088e+23
0.0019465,2.29496e+23
0.001955,2.29901e+23
0.0019635,2.30302e+23
0.001972,2.307e+23
0.0019805,2.31094e+23
0.001989,2.31485e+23
0.0019975,2.31872e+23
0.002006,2.32255e+23
0.0020145,2.32633e+23
0.002023,2.33008e+23
0.0020315,2.33377e+23
0.00204,2.33742e+23
0.0020485,2.34102e+23
0.002057,2.34457e+23
0.0020655,2.34806e+23
0.002074,2.3515e+23
0.0020825,2.35489e+23
0.002091,2.35821e+23
0.0020995,2.36147e+23
0.002108,2.36467e+23
0.0021165,2.3678e+23
0.002125,2.37086e+23
0.0021335,2.37386e+23
0.002142,2.37678e+23
0.0021505,2.37962e+23
0.002159,2.38239e+23
0.0021675,2.38508e+23
0.002176,2.38769e+23
0.0021845,2.39021e+23
0.002193,2.39265e+23
0.0022015,2.395e+23
0.00221,2.39726e+23
0.0022185,2.39942e+23
0.002227,2.40148e+23
0.0022355,2.40345e+23
0.002244,2.40531e+23
0.0022525,2.40707e+23
0.002261,2.40872e+23
0.0022695,2.41026e+23
0.002278,2.41169e+23
0.0022865,2.413e+23
0.002295,2.4142e+23
0.0023035,2.41527e+23
0.002312,2.41622e+23
0.0023205,2.41704e+23
0.002329,2.41773e+23
0.0023375,2.41828e+23
0.002346,2.4187e+23
0.0023545,2.41898e+23
0.002363,2.41912e+23
0.0023715,2.41911e+23
0.00238,2.41896e+23
0.0023885,2.41865e+23
0.002397,2.41819e+23
0.0024055,2.41756e+23
0.002414,2.41678e+23
0.0024225,2.41584e+23
0.002431,2.41472e+23
0.0024395,2.41344e+23
0.002448,2.41198e+23
0.0024565,2.41034e+23
0.002465,2.40853e+23
0.0024735,2.40653e+23
0.002482,2.40434e+23
0.0024905,2.40197e+23
0.002499,2.3994e+23
0.0025075,2.39663e+23
0.002516,2.39366e+23
0.0025245,2.3905e+23
0.002533,2.38712e+23
0.0025415,2.38354e+23
0.00255,2.37974e+23
0.0025585,2.37573e+23
0.002567,2.3715e+23
0.0025755,2.36705e+23
0.002584,2.36237e+23
0.0025925,2.35746e+23
0.002601,2.35233e+23
0.0026095,2.34696e+23
0.002618,2.34135e+23
0.0026265,2.3355e+23
0.002635,2.32941e+23
0.0026435,2.32308e+23
0.002652,2.3165e+23
0.0026605,2.30966e+23
0.002669,2.30258e+23
0.0026775,2.29523e+23
0.002686,2.28763e+23
0.0026945,2.27977e+23
0.002703,2.27164e+23
0.0027115,2.26325e+23
0.00272,2.2546e+23
0.0027285,2.24567e+23
0.002737,2.23647e+23
0.0027455,2.227e+23
0.002754,2.21725e+23
0.0027625,2.20723e+23
0.002771,2.19692e+23
0.0027795,2.18634e+23
0.002788,2.17548e+23
0.0027965,2.16433e+23
0.002805,2.1529e+23
0.0028135,2.14119e+23
0.002822,2.12919e+23
0.0028305,2.11691e+23
0.002839,2.10434e+23
0.0028475,2.09148e+23
0.002856,2.07834e+23
0.0028645,2.06492e+23
0.002873,2.0512e+23
0.0028815,2.0372e+23
0.00289,2.02292e+23
0.0028985,2.00835e+23
0.002907,1.9935e+23
0.0029155,1.97836e+23
0.002924,1.96295e+23
0.0029325,1.94726e+23
0.002941,1.93129e+23
0.0029495,1.91504e+23
0.002958,1.89852e+23
0.0029665,1.88173e+23
0.002975,1.86467e+23
0.0029835,1.84735e+23
0.002992,1.82977e+23
0.0030005,1.81192e+23
0.003009,1.79383e+23
0.0030175,1.77548e+23
0.003026,1.75688e+23
0.0030345,1.73805e+23
0.003043,1.71897e+23
0.0030515,1.69966e+23
0.00306,1.68013e+23
0.0030685,1.66037e+23
0.003077,1.6404e+23
0.0030855,1.62021e+23
0.003094,1.59982e+23
0.0031025,1.57924e+23
0.003111,1.55846e+23
0.0031195,1.5375e+23
0.003128,1.51636e+23
0.0031365,1.49505e+23
0.003145,1.47358e+23
0.0031535,1.45195e+23
0.003162,1.43018e+23
0.0031705,1.40828e+23
0.003179,1.38624e+23
0.0031875,1.36409e+23
0.003196,1.34182e+23
0.0032045,1.31945e+23
0.003213,1.297e+23
0.0032215,1.27446e+23
0.00323,1.25185e+23
0.0032385,1.22918e+23
0.003247,1.20645e+23
0.0032555,1.18369e+23
0.003264,1.1609e+23
0.0032725,1.13809e+23
0.003281,1.11527e+23
0.0032895,1.09245e+23
0.003298,1.06965e+23
0.0033065,1.04688e+23
0.003315,1.02414e+23
0.0033235,1.00145e+23
0.003332,9.78821e+22
