"arc_length","retention"
0,3.14797e+24
8.5e-06,1.6614e+23
1.7e-05,1.66461e+23
2.55e-05,1.66784e+23
3.4e-05,1.67111e+23
4.25e-05,1.67441e+23
5.1e-05,1.67774e+23
5.95e-05,1.68109e+23
6.8e-05,1.68449e+23
7.65e-05,1.68791e+23
8.5e-05,1.69136e+23
9.35e-05,1.69485e+23
0.000102,1.69837e+23
0.0001105,1.70192e+23
0.000119,1.70551e+23
0.0001275,1.70913e+23
0.000136,1.71278e+23
0.0001445,1.71647e+23
0.000153,1.72019e+23
0.0001615,1.72395e+23
0.00017,1.72775e+23
0.0001785,1.73158e+23
0.000187,1.73545e+23
0.0001955,1.73935e+23
0.000204,1.74329e+23
0.0002125,1.74727e+23
0.000221,1.75129e+23
0.0002295,1.75534e+23
0.000238,1.75944e+23
0.0002465,1.76357e+23
0.000255,1.76775e+23
0.0002635,1.77196e+23
0.000272,1.77622e+23
0.0002805,1.78051e+23
0.000289,1.78485e+23
0.0002975,1.78923e+23
0.000306,1.79366e+23
0.0003145,1.79812e+23
0.000323,1.80263e+23
0.0003315,1.80718e+23
0.00034,1.81178e+23
0.0003485,1.81642e+23
0.000357,1.82111e+23
0.0003655,1.82585e+23
0.000374,1.83063e+23
0.0003825,1.83546e+23
0.000391,1.84033e+23
0.0003995,1.84526e+23
0.000408,1.85023e+23
0.0004165,1.85525e+23
0.000425,1.86032e+23
0.0004335,1.86544e+23
0.000442,1.87062e+23
0.0004505,1.87584e+23
0.000459,1.88112e+23
0.0004675,1.88644e+23
0.000476,1.89183e+23
0.0004845,1.89726e+23
0.000493,1.90275e+23
0.0005015,1.9083e+23
0.00051,1.9139e+23
0.0005185,1.91956e+23
0.000527,1.92528e+23
0.0005355,1.93105e+23
0.000544,1.93688e+23
0.0005525,1.94277e+23
0.000561,1.94872e+23
0.0005695,1.95473e+23
0.000578,1.9608e+23
0.0005865,1.96694e+23
0.000595,1.97313e+23
0.0006035,1.97939e+23
0.000612,1.98572e+23
0.0006205,1.99211e+23
0.000629,1.99856e+23
0.0006375,2.00508e+23
0.000646,2.01167e+23
0.0006545,2.01832e+23
0.000663,2.02505e+23
0.0006715,2.03184e+23
0.00068,2.03871e+23
0.0006885,2.04564e+23
0.000697,2.05265e+23
0.0007055,2.05973e+23
0.000714,2.06689e+23
0.0007225,2.07411e+23
0.000731,2.08142e+23
0.0007395,2.0888e+23
0.000748,2.09626e+23
0.0007565,2.1038e+23
0.000765,2.11141e+23
0.0007735,2.11911e+23
0.000782,2.12688e+23
0.0007905,2.13474e+23
0.000799,2.14269e+23
0.0008075,2.15071e+23
0.000816,2.15882e+23
0.0008245,2.16702e+23
0.000833,2.17531e+23
0.0008415,2.18368e+23
0.00085,2.19214e+23
0.0008585,2.2007e+23
0.000867,2.20934e+23
0.0008755,2.21808e+23
0.000884,2.22691e+23
0.0008925,2.23583e+23
0.000901,2.24486e+23
0.0009095,2.25397e+23
0.000918,2.26319e+23
0.0009265,2.27251e+23
0.000935,2.28193e+23
0.0009435,2.29145e+23
0.000952,2.30107e+23
0.0009605,2.3108e+23
0.000969,2.32063e+23
0.0009775,2.33058e+23
0.000986,2.34063e+23
0.0009945,2.35079e+23
0.001003,2.36106e+23
0.0010115,2.37144e+23
0.00102,2.38194e+23
0.0010285,2.39255e+23
0.001037,2.40329e+23
0.0010455,2.41414e+23
0.001054,2.4251e+23
0.0010625,2.4362e+23
0.001071,2.44741e+23
0.0010795,2.45875e+23
0.001088,2.47021e+23
0.0010965,2.48181e+23
0.001105,2.49353e+23
0.0011135,2.50538e+23
0.001122,2.51737e+23
0.0011305,2.52949e+23
0.001139,2.54174e+23
0.0011475,2.55414e+23
0.001156,2.56667e+23
0.0011645,2.57934e+23
0.001173,2.59216e+23
0.0011815,2.60512e+23
0.00119,2.61823e+23
0.0011985,2.63149e+23
0.001207,2.6449e+23
0.0012155,2.65846e+23
0.001224,2.67218e+23
0.0012325,2.68605e+23
0.001241,2.70008e+23
0.0012495,2.71428e+23
0.001258,2.72863e+23
0.0012665,2.74315e+23
0.001275,2.75784e+23
0.0012835,2.77269e+23
0.001292,2.78772e+23
0.0013005,2.80292e+23
0.001309,2.8183e+23
0.0013175,2.83386e+23
0.001326,2.84959e+23
0.0013345,2.86551e+23
0.001343,2.88161e+23
0.0013515,2.89791e+23
0.00136,2.91439e+23
0.0013685,2.93106e+23
0.001377,2.94793e+23
0.0013855,2.965e+23
0.001394,2.98227e+23
0.0014025,2.99974e+23
0.001411,3.01742e+23
0.0014195,3.03531e+23
0.001428,3.0534e+23
0.0014365,3.07172e+23
0.001445,3.09025e+23
0.0014535,3.109e+23
0.001462,3.12797e+23
0.0014705,3.14717e+23
0.001479,3.1666e+23
0.0014875,3.18626e+23
0.001496,3.20615e+23
0.0015045,3.22628e+23
0.001513,3.24666e+23
0.0015215,3.26728e+23
0.00153,3.28815e+23
0.0015385,3.30927e+23
0.001547,3.33065e+23
0.0015555,3.35228e+23
0.001564,3.37418e+23
0.0015725,3.39634e+23
0.001581,3.41877e+23
0.0015895,3.44147e+23
0.001598,3.46445e+23
0.0016065,3.48772e+23
0.001615,3.51126e+23
0.0016235,3.5351e+23
0.001632,3.55922e+23
0.0016405,3.58364e+23
0.001649,3.60837e+23
0.0016575,3.6334e+23
0.001666,3.65873e+23
0.0016745,3.68438e+23
0.001683,3.71035e+23
0.0016915,3.73664e+23
0.0017,3.76325e+23
0.0017085,3.7902e+23
0.001717,3.81748e+23
0.0017255,3.8451e+23
0.001734,3.87307e+23
0.0017425,3.90139e+23
0.001751,3.93006e+23
0.0017595,3.95909e+23
0.001768,3.98849e+23
0.0017765,4.01825e+23
0.001785,4.0484e+23
0.0017935,4.07892e+23
0.001802,4.10983e+23
0.0018105,4.14113e+23
0.001819,4.17282e+23
0.0018275,4.20492e+23
0.001836,4.23743e+23
0.0018445,4.27035e+23
0.001853,4.30369e+23
0.0018615,4.33746e+23
0.00187,4.37166e+23
0.0018785,4.40629e+23
0.001887,4.44138e+23
0.0018955,4.47691e+23
0.001904,4.5129e+23
0.0019125,4.54935e+23
0.001921,4.58628e+23
0.0019295,4.62368e+23
0.001938,4.66157e+23
0.0019465,4.69995e+23
0.001955,4.73883e+23
0.0019635,4.77821e+23
0.001972,4.8181e+23
0.0019805,4.85852e+23
0.001989,4.89947e+23
0.0019975,4.94095e+23
0.002006,4.98297e+23
0.0020145,5.02555e+23
0.002023,5.06868e+23
0.0020315,5.11239e+23
0.00204,5.15667e+23
0.0020485,5.20153e+23
0.002057,5.24699e+23
0.0020655,5.29305e+23
0.002074,5.33972e+23
0.0020825,5.38701e+23
0.002091,5.43493e+23
0.0020995,5.48349e+23
0.002108,5.53269e+23
0.0021165,5.58256e+23
0.002125,5.63308e+23
0.0021335,5.68429e+23
0.002142,5.73619e+23
0.0021505,5.78878e+23
0.002159,5.84208e+23
0.0021675,5.89609e+23
0.002176,5.95084e+23
0.0021845,6.00633e+23
0.002193,6.06256e+23
0.0022015,6.11956e+23
0.00221,6.17734e+23
0.0022185,6.23589e+23
0.002227,6.29525e+23
0.0022355,6.35541e+23
0.002244,6.4164e+23
0.0022525,6.47822e+23
0.002261,6.54088e+23
0.0022695,6.60441e+23
0.002278,6.6688e+23
0.0022865,6.73408e+23
0.002295,6.80027e+23
0.0023035,6.86736e+23
0.002312,6.93538e+23
0.0023205,7.00433e+23
0.002329,7.07425e+23
0.0023375,7.14513e+23
0.002346,7.217e+23
0.0023545,7.28986e+23
0.002363,7.36374e+23
0.0023715,7.43864e+23
0.00238,7.5146e+23
0.0023885,7.59161e+23
0.002397,7.6697e+23
0.0024055,7.74889e+23
0.002414,7.82919e+23
0.0024225,7.91061e+23
0.002431,7.99318e+23
0.0024395,8.07691e+23
0.002448,8.16183e+23
0.0024565,8.24794e+23
0.002465,8.33527e+23
0.0024735,8.42384e+23
0.002482,8.51366e+23
0.0024905,8.60476e+23
0.002499,8.69715e+23
0.0025075,8.79085e+23
0.002516,8.88589e+23
0.0025245,8.98229e+23
0.002533,9.08006e+23
0.0025415,9.17923e+23
0.00255,9.27982e+23
0.0025585,9.38185e+23
0.002567,9.48535e+23
0.0025755,9.59033e+23
0.002584,9.69683e+23
0.0025925,9.80485e+23
0.002601,9.91444e+23
0.0026095,1.00256e+24
0.002618,1.01384e+24
0.0026265,1.02528e+24
0.002635,1.03688e+24
0.0026435,1.04866e+24
0.002652,1.0606e+24
0.0026605,1.07272e+24
0.002669,1.08502e+24
0.0026775,1.09749e+24
0.002686,1.11015e+24
0.0026945,1.12299e+24
0.002703,1.13602e+24
0.0027115,1.14924e+24
0.00272,1.16265e+24
0.0027285,1.17626e+24
0.002737,1.19007e+24
0.0027455,1.20408e+24
0.002754,1.2183e+24
0.0027625,1.23273e+24
0.002771,1.24737e+24
0.0027795,1.26222e+24
0.002788,1.2773e+24
0.0027965,1.2926e+24
0.002805,1.30812e+24
0.0028135,1.32387e+24
0.002822,1.33986e+24
0.0028305,1.35608e+24
0.002839,1.37255e+24
0.0028475,1.38926e+24
0.002856,1.40621e+24
0.0028645,1.42342e+24
0.002873,1.44089e+24
0.0028815,1.45862e+24
0.00289,1.47661e+24
0.0028985,1.49486e+24
0.002907,1.51339e+24
0.0029155,1.5322e+24
0.002924,1.55129e+24
0.0029325,1.57067e+24
0.002941,1.59033e+24
0.0029495,1.61029e+24
0.002958,1.63055e+24
0.0029665,1.65111e+24
0.002975,1.67198e+24
0.0029835,1.69317e+24
0.002992,1.71467e+24
0.0030005,1.7365e+24
0.003009,1.75865e+24
0.0030175,1.78114e+24
0.003026,1.80396e+24
0.0030345,1.82713e+24
0.003043,1.85065e+24
0.0030515,1.87452e+24
0.00306,1.89876e+24
0.0030685,1.92336e+24
0.003077,1.94833e+24
0.0030855,1.97367e+24
0.003094,1.9994e+24
0.0031025,2.02552e+24
0.003111,2.05203e+24
0.0031195,2.07894e+24
0.003128,2.10626e+24
0.0031365,2.13399e+24
0.003145,2.16214e+24
0.0031535,2.19072e+24
0.003162,2.21973e+24
0.0031705,2.24917e+24
0.003179,2.27906e+24
0.0031875,2.30941e+24
0.003196,2.34021e+24
0.0032045,2.37147e+24
0.003213,2.40321e+24
0.0032215,2.43543e+24
0.00323,2.46813e+24
0.0032385,2.50133e+24
0.003247,2.53503e+24
0.0032555,2.56923e+24
0.003264,2.60395e+24
0.0032725,2.6392e+24
0.003281,2.67497e+24
0.0032895,2.71129e+24
0.003298,2.74815e+24
0.0033065,2.78557e+24
0.003315,2.82354e+24
0.0033235,2.86209e+24
0.003332,2.90122e+24
0.0033405,2.94093e+24
0.003349,2.98124e+24
0.0033575,3.02215e+24
0.003366,3.06367e+24
0.0033745,3.10581e+24
0.003383,3.14858e+24
0.0033915,3.19199e+24
0.0034,3.23605e+24
0.0034085,3.28076e+24
0.003417,3.32614e+24
0.0034255,3.37219e+24
0.003434,3.41892e+24
0.0034425,3.46634e+24
0.003451,3.51446e+24
0.0034595,3.5633e+24
0.003468,3.61285e+24
0.0034765,3.66313e+24
0.003485,3.71415e+24
0.0034935,3.76591e+24
0.003502,3.81844e+24
0.0035105,3.87172e+24
0.003519,3.92579e+24
0.0035275,3.98064e+24
0.003536,4.03629e+24
0.0035445,4.09274e+24
0.003553,4.15001e+24
0.0035615,4.2081e+24
0.00357,4.26703e+24
0.0035785,4.3268e+24
0.003587,4.38742e+24
0.0035955,4.44891e+24
0.003604,4.51128e+24
0.0036125,4.57453e+24
0.003621,4.63866e+24
0.0036295,4.70371e+24
0.003638,4.76967e+24
0.0036465,4.83655e+24
