"arc_length","retention"
0,3.14797e+24
8.5e-06,1.66141e+23
1.7e-05,1.66463e+23
2.55e-05,1.66789e+23
3.4e-05,1.67117e+23
4.25e-05,1.67448e+23
5.1e-05,1.67782e+23
5.95e-05,1.68119e+23
6.8e-05,1.6846e+23
7.65e-05,1.68804e+23
8.5e-05,1.69151e+23
9.35e-05,1.69501e+23
0.000102,1.69854e+23
0.0001105,1.70211e+23
0.000119,1.70571e+23
0.0001275,1.70935e+23
0.000136,1.71302e+23
0.0001445,1.71672e+23
0.000153,1.72046e+23
0.0001615,1.72424e+23
0.00017,1.72805e+23
0.0001785,1.7319e+23
0.000187,1.73578e+23
0.0001955,1.7397e+23
0.000204,1.74366e+23
0.0002125,1.74765e+23
0.000221,1.75169e+23
0.0002295,1.75576e+23
0.000238,1.75987e+23
0.0002465,1.76403e+23
0.000255,1.76822e+23
0.0002635,1.77245e+23
0.000272,1.77672e+23
0.0002805,1.78104e+23
0.000289,1.78539e+23
0.0002975,1.78979e+23
0.000306,1.79423e+23
0.0003145,1.79872e+23
0.000323,1.80325e+23
0.0003315,1.80782e+23
0.00034,1.81244e+23
0.0003485,1.8171e+23
0.000357,1.82181e+23
0.0003655,1.82656e+23
0.000374,1.83136e+23
0.0003825,1.83621e+23
0.000391,1.84111e+23
0.0003995,1.84605e+23
0.000408,1.85104e+23
0.0004165,1.85609e+23
0.000425,1.86118e+23
0.0004335,1.86632e+23
0.000442,1.87152e+23
0.0004505,1.87676e+23
0.000459,1.88206e+23
0.0004675,1.88741e+23
0.000476,1.89282e+23
0.0004845,1.89828e+23
0.000493,1.90379e+23
0.0005015,1.90936e+23
0.00051,1.91498e+23
0.0005185,1.92067e+23
0.000527,1.9264e+23
0.0005355,1.9322e+23
0.000544,1.93806e+23
0.0005525,1.94397e+23
0.000561,1.94995e+23
0.0005695,1.95598e+23
0.000578,1.96208e+23
0.0005865,1.96824e+23
0.000595,1.97446e+23
0.0006035,1.98075e+23
0.000612,1.9871e+23
0.0006205,1.99351e+23
0.000629,2e+23
0.0006375,2.00654e+23
0.000646,2.01316e+23
0.0006545,2.01984e+23
0.000663,2.02659e+23
0.0006715,2.03342e+23
0.00068,2.04031e+23
0.0006885,2.04727e+23
0.000697,2.05431e+23
0.0007055,2.06142e+23
0.000714,2.06861e+23
0.0007225,2.07587e+23
